,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2023-06-28 00:47:04+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,4977CZYSXGbAT4QMleDqvw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-06-30 00:18:44+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,fZo1ese7tVvaYS62gM8e7A,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-06-30 00:46:13+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,iPEIAuS2H265UbX4UeN0_Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-06-30 00:46:37+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,JpjTC5C0u7uRbtjZiTVsLA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-02 00:46:19+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,9yHq8Mm17104RX-XqPTIfQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-04 00:19:14+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,yNbCyBgzcPlabl0NVrsdgg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-07-04 00:47:10+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,0_F64SJg72RdQqO4acslvQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-04 00:47:59+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,WNsmOSq0PskUvBpDSF47Sg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-06 00:45:45+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,u8AiiQ5ZNFUO6_LL-pM3SA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-08 00:45:51+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,4SrP3urwLr0GqoRO0E6nzw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-10 00:18:57+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,lu8EjGYg3WOkXvC_suMkdw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-07-10 00:47:01+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,EYg981boWJUt8d68A9Ok8Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-10 00:47:33+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,okTAqBDddMXQ6aKKunQZOg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
